Date,Symbols,Close,High,Low,Open,Volume
2020-06-11,BNTX,48.1383,48.7227,46.623,48.5345,1337549.4358611
2020-06-11,MRNA,60.2,66.6867,58.77,62.95,32085168.0
2020-06-12,GOOGL,70.646,71.7252,69.29,71.293,36675120.0
2020-06-12,PFE,30.8368,31.1597,30.1907,31.1363,39358946.387843
2020-06-12,BNTX,48.1185,48.9704,46.5635,48.901,867362.10752759
2020-06-12,MRNA,62.0,63.63,60.29,62.355,14742913.0
2020-06-15,GOOGL,71.037,71.25,69.3598,69.4745,30553040.0
2020-06-15,PFE,30.4797,30.8066,29.9322,30.4249,37640338.849841
2020-06-15,BNTX,50.367,50.6839,47.8313,48.2572,1101551.6837264
2020-06-15,MRNA,66.57,66.98,63.424,65.9,19339289.0
2020-06-16,GOOGL,72.3235,72.8585,71.4495,72.45,30696520.0
2020-06-16,PFE,30.5158,31.0281,29.8941,30.6894,57754149.558593
2020-06-16,BNTX,49.426,51.0108,48.6237,50.5155,910356.51311465
2020-06-16,MRNA,64.34,66.6,62.6,66.31,16537847.0
2020-06-17,GOOGL,72.627,73.11,71.7562,72.647,30610000.0
2020-06-17,PFE,30.6621,30.8505,30.4396,30.6894,28566899.935868
2020-06-17,BNTX,50.367,51.0108,49.0299,49.2774,730003.33098737
2020-06-17,MRNA,63.31,65.88,62.58,63.6,13615975.0
2020-06-18,GOOGL,71.706,72.6485,71.3117,72.4925,34861420.0
2020-06-18,PFE,30.3703,30.5811,30.1331,30.3976,33519249.738009
2020-06-18,BNTX,50.4561,51.0999,49.3567,49.3864,698152.78133583
2020-06-18,MRNA,64.95,65.4,62.58,63.03,10914379.0
2020-06-19,GOOGL,71.232,72.225,70.95,72.0,52783340.0
2020-06-19,PFE,30.5342,30.827,30.2561,30.7812,45615576.270365
2020-06-19,BNTX,50.8721,51.09,49.4359,50.4165,742853.39425493
2020-06-19,MRNA,66.35,66.45,64.01,64.99,16076734.0
2020-06-22,GOOGL,72.533,72.5475,70.9595,71.2505,29441440.0
2020-06-22,PFE,30.2521,30.4797,30.0678,30.4523,24229117.520664
2020-06-22,BNTX,56.9043,58.3405,51.3575,51.4565,2703927.7180928
2020-06-22,MRNA,64.75,66.29,62.12,65.92,13586383.0
2020-06-23,GOOGL,73.199,73.76,72.25,72.6,37751660.0
2020-06-23,PFE,29.9419,30.3781,29.9136,30.3342,39138736.364051
2020-06-23,BNTX,52.2489,55.4681,51.0306,55.0917,2162735.915403
2020-06-23,MRNA,62.94,65.08,62.74,64.1,12361339.0
2020-06-24,GOOGL,71.635,73.7895,71.5,73.164,31591580.0
2020-06-24,PFE,29.4089,29.9038,29.2353,29.8853,32001897.592589
2020-06-24,BNTX,54.2101,54.8242,51.318,52.4966,1357375.7669774
2020-06-24,MRNA,64.84,66.1559,63.14,63.23,14377115.0
2020-06-25,GOOGL,72.055,72.116,70.977,71.561,23958140.0
2020-06-25,PFE,29.5281,29.5857,29.0812,29.3358,28472244.618645
2020-06-25,BNTX,59.1428,59.3508,53.0117,53.9922,2429435.303613
2020-06-25,MRNA,62.0,67.0,58.51,67.0,26905664.0
2020-06-26,GOOGL,68.127,71.851,67.75,71.6315,97640280.0
2020-06-26,PFE,29.2744,29.4939,28.8811,29.4657,43773865.073357
2020-06-26,BNTX,61.5398,62.768,55.9633,56.0921,2857870.0222283
2020-06-26,MRNA,61.28,62.29,59.14,60.71,13866283.0
2020-06-29,GOOGL,69.8585,69.9,67.5825,68.017,45073560.0
2020-06-29,PFE,29.8228,29.8482,29.4179,29.6579,24876858.073932
2020-06-29,BNTX,65.175,70.702,63.5109,65.0561,4049828.4835696
2020-06-29,MRNA,62.08,63.0,59.4,61.82,8074205.0
2020-06-30,GOOGL,70.9025,71.2,69.3465,69.844,40286400.0
2020-06-30,PFE,29.8755,30.0424,29.447,29.7214,26429736.063445
2020-06-30,BNTX,66.106,67.6017,61.6287,65.5315,1998038.4475348
2020-06-30,MRNA,64.21,65.159,61.8,62.18,11955169.0
2020-07-01,GOOGL,72.1,72.424,70.709,70.9585,42182480.0
2020-07-01,PFE,30.827,31.5579,30.8084,31.5579,76327512.736866
2020-07-01,BNTX,63.5307,78.626,61.7082,76.9619,9973999.4214618
2020-07-01,MRNA,61.59,63.73,59.12,63.0,17916470.0
2020-07-02,GOOGL,73.4965,74.426,72.5532,72.592,57218300.0
2020-07-02,PFE,31.5297,31.838,31.1022,31.6312,47010515.394764
2020-07-02,BNTX,62.669,68.7308,62.1341,67.5967,3964167.7891901
2020-07-02,MRNA,58.57,61.8,55.8097,60.0,26544378.0
2020-07-06,GOOGL,74.9825,75.5,73.8488,74.4075,44712600.0
2020-07-06,PFE,31.5297,31.9678,31.4106,31.9327,28194300.743288
2020-07-06,BNTX,64.8877,66.2645,63.7189,64.967,1665263.4040188
2020-07-06,MRNA,59.15,60.73,57.1,58.55,9977316.0
2020-07-07,GOOGL,74.496,76.066,74.485,74.8065,42363880.0
2020-07-07,PFE,31.0925,31.3853,31.0232,31.111,26114333.787262
2020-07-07,BNTX,68.6813,70.2166,62.9067,63.3921,2286112.8781317
2020-07-07,MRNA,61.09,61.5,57.44,58.8,8904341.0
2020-07-08,GOOGL,75.18,75.5585,74.615,75.04,31765840.0
2020-07-08,PFE,30.8368,31.4019,30.6719,31.0729,25188672.926402
2020-07-08,BNTX,66.9182,67.9286,65.8287,66.5716,1463504.8918005
